Estado,Sexo,Rango_Edades,Personas
Sonora,Hombres,De 40 a 44 años,6332
Sonora,Hombres,De 45 a 49 años,5186
Sonora,Hombres,De 50 a 54 años,4349
Sonora,Hombres,De 55 a 59 años,3204
Sonora,Hombres,De 60 a 64 años,2293
Sonora,Hombres,De 65 a 69 años,1639
Sonora,Mujeres,De 15 a 19 años,7955
Sonora,Mujeres,De 20 a 24 años,7720
Sonora,Mujeres,De 25 a 29 años,6653
Sonora,Mujeres,De 30 a 34 años,5884
Sonora,Mujeres,De 35 a 39 años,4909
Sonora,Mujeres,De 40 a 44 años,3659
Sonora,Mujeres,De 45 a 49 años,2883
Sonora,Mujeres,De 50 a 54 años,2135
Sonora,Mujeres,De 55 a 59 años,1347
Sonora,Mujeres,De 60 a 64 años,961
Sonora,Mujeres,De 65 a 69 años,639
Tabasco,Hombres,De 15 a 19 años,13255
Tabasco,Hombres,De 20 a 24 años,13761
Tabasco,Hombres,De 25 a 29 años,12207
Tabasco,Hombres,De 30 a 34 años,11128
Tabasco,Hombres,De 35 a 39 años,10293
Tabasco,Hombres,De 40 a 44 años,7943
Tabasco,Hombres,De 45 a 49 años,6681
Tabasco,Hombres,De 50 a 54 años,4899
Tabasco,Hombres,De 55 a 59 años,3598
Tabasco,Hombres,De 60 a 64 años,2398
Tabasco,Hombres,De 65 a 69 años,1566
Tabasco,Mujeres,De 15 a 19 años,9707
Tabasco,Mujeres,De 20 a 24 años,9976
Tabasco,Mujeres,De 25 a 29 años,8655
Tabasco,Mujeres,De 30 a 34 años,7523
Tabasco,Mujeres,De 35 a 39 años,6236
Tabasco,Mujeres,De 40 a 44 años,4317
Tabasco,Mujeres,De 45 a 49 años,3050
Tabasco,Mujeres,De 50 a 54 años,2077
Tabasco,Mujeres,De 55 a 59 años,1293
Tabasco,Mujeres,De 60 a 64 años,773
Tabasco,Mujeres,De 65 a 69 años,506
Tamaulipas,Hombres,De 15 a 19 años,12701
Tamaulipas,Hombres,De 20 a 24 años,14157
Tamaulipas,Hombres,De 25 a 29 años,12957
Tamaulipas,Hombres,De 30 a 34 años,11746
Tamaulipas,Hombres,De 35 a 39 años,10322
Tamaulipas,Hombres,De 40 a 44 años,8356
Tamaulipas,Hombres,De 45 a 49 años,6504
Tamaulipas,Hombres,De 50 a 54 años,5095
Tamaulipas,Hombres,De 55 a 59 años,3532
Tamaulipas,Hombres,De 60 a 64 años,2756
Tamaulipas,Hombres,De 65 a 69 años,2053
Tamaulipas,Mujeres,De 15 a 19 años,9739
Tamaulipas,Mujeres,De 20 a 24 años,9958
Tamaulipas,Mujeres,De 25 a 29 años,8891
Tamaulipas,Mujeres,De 30 a 34 años,7779
Tamaulipas,Mujeres,De 35 a 39 años,6690
Tamaulipas,Mujeres,De 40 a 44 años,5091
Tamaulipas,Mujeres,De 45 a 49 años,3742
Tamaulipas,Mujeres,De 50 a 54 años,2582
Tamaulipas,Mujeres,De 55 a 59 años,1560
Tamaulipas,Mujeres,De 60 a 64 años,1173
Tamaulipas,Mujeres,De 65 a 69 años,894
Tlaxcala,Hombres,De 15 a 19 años,911
Tlaxcala,Hombres,De 20 a 24 años,875
Tlaxcala,Hombres,De 25 a 29 años,757
Tlaxcala,Hombres,De 30 a 34 años,665
Tlaxcala,Hombres,De 35 a 39 años,647
Tlaxcala,Hombres,De 40 a 44 años,582
Tlaxcala,Hombres,De 45 a 49 años,438
Tlaxcala,Hombres,De 50 a 54 años,419
Tlaxcala,Hombres,De 55 a 59 años,299
Tlaxcala,Hombres,De 60 a 64 años,233
Tlaxcala,Hombres,De 65 a 69 años,163
Tlaxcala,Mujeres,De 15 a 19 años,665
Tlaxcala,Mujeres,De 20 a 24 años,636
Tlaxcala,Mujeres,De 25 a 29 años,616
Tlaxcala,Mujeres,De 30 a 34 años,562
Tlaxcala,Mujeres,De 35 a 39 años,527
Tlaxcala,Mujeres,De 40 a 44 años,427
Tlaxcala,Mujeres,De 45 a 49 años,352
Tlaxcala,Mujeres,De 50 a 54 años,257
Tlaxcala,Mujeres,De 55 a 59 años,205
Tlaxcala,Mujeres,De 60 a 64 años,138
Tlaxcala,Mujeres,De 65 a 69 años,97
Veracruz de Ignacio de la Llave,Hombres,De 15 a 19 años,30793
Veracruz de Ignacio de la Llave,Hombres,De 20 a 24 años,28010
Veracruz de Ignacio de la Llave,Hombres,De 25 a 29 años,23452
Veracruz de Ignacio de la Llave,Hombres,De 30 a 34 años,21403
Veracruz de Ignacio de la Llave,Hombres,De 35 a 39 años,20661
Veracruz de Ignacio de la Llave,Hombres,De 40 a 44 años,18208
Veracruz de Ignacio de la Llave,Hombres,De 45 a 49 años,15780
Veracruz de Ignacio de la Llave,Hombres,De 50 a 54 años,12945
Veracruz de Ignacio de la Llave,Hombres,De 55 a 59 años,10080
Veracruz de Ignacio de la Llave,Hombres,De 60 a 64 años,7626
Veracruz de Ignacio de la Llave,Hombres,De 65 a 69 años,5631
Veracruz de Ignacio de la Llave,Mujeres,De 15 a 19 años,23735
Veracruz de Ignacio de la Llave,Mujeres,De 20 a 24 años,22345
Veracruz de Ignacio de la Llave,Mujeres,De 25 a 29 años,19213
Veracruz de Ignacio de la Llave,Mujeres,De 30 a 34 años,16953
Veracruz de Ignacio de la Llave,Mujeres,De 35 a 39 años,15551
Veracruz de Ignacio de la Llave,Mujeres,De 40 a 44 años,12488
Veracruz de Ignacio de la Llave,Mujeres,De 45 a 49 años,9721
Veracruz de Ignacio de la Llave,Mujeres,De 50 a 54 años,7390
Veracruz de Ignacio de la Llave,Mujeres,De 55 a 59 años,5240
Veracruz de Ignacio de la Llave,Mujeres,De 60 a 64 años,3653
Veracruz de Ignacio de la Llave,Mujeres,De 65 a 69 años,2634
Yucatán,Hombres,De 15 a 19 años,5727
Yucatán,Hombres,De 20 a 24 años,6586
Yucatán,Hombres,De 25 a 29 años,5900
Yucatán,Hombres,De 30 a 34 años,5217
Yucatán,Hombres,De 35 a 39 años,4541
Yucatán,Hombres,De 40 a 44 años,3524
Yucatán,Hombres,De 45 a 49 años,3063
Yucatán,Hombres,De 50 a 54 años,2647
Yucatán,Hombres,De 55 a 59 años,2240
Yucatán,Hombres,De 60 a 64 años,1797
Yucatán,Hombres,De 65 a 69 años,1280
Yucatán,Mujeres,De 15 a 19 años,3928
Yucatán,Mujeres,De 20 a 24 años,4154
Yucatán,Mujeres,De 25 a 29 años,3599
Yucatán,Mujeres,De 30 a 34 años,2975
Yucatán,Mujeres,De 35 a 39 años,2588
Yucatán,Mujeres,De 40 a 44 años,1946
Yucatán,Mujeres,De 45 a 49 años,1689
Yucatán,Mujeres,De 50 a 54 años,1289
Yucatán,Mujeres,De 55 a 59 años,927
Yucatán,Mujeres,De 60 a 64 años,677
Yucatán,Mujeres,De 65 a 69 años,422
Zacatecas,Hombres,De 15 a 19 años,1169
Zacatecas,Hombres,De 20 a 24 años,1173
Zacatecas,Hombres,De 25 a 29 años,991
Zacatecas,Hombres,De 30 a 34 años,866
Zacatecas,Hombres,De 35 a 39 años,730
Zacatecas,Hombres,De 40 a 44 años,687
Zacatecas,Hombres,De 45 a 49 años,611
Zacatecas,Hombres,De 50 a 54 años,539
Zacatecas,Hombres,De 55 a 59 años,442
Zacatecas,Hombres,De 60 a 64 años,335
Zacatecas,Hombres,De 65 a 69 años,250
Zacatecas,Mujeres,De 15 a 19 años,807
Zacatecas,Mujeres,De 20 a 24 años,832
Zacatecas,Mujeres,De 25 a 29 años,629
Zacatecas,Mujeres,De 30 a 34 años,575
Zacatecas,Mujeres,De 35 a 39 años,493
Zacatecas,Mujeres,De 40 a 44 años,427
Zacatecas,Mujeres,De 45 a 49 años,329
Zacatecas,Mujeres,De 50 a 54 años,301
Zacatecas,Mujeres,De 55 a 59 años,197
Zacatecas,Mujeres,De 60 a 64 años,141
Zacatecas,Mujeres,De 65 a 69 años,109
