Estado,Sexo,Rango_Edades,Personas
Coahuila de Zaragoza,Mujeres,De 55 a 59 años,1062
Coahuila de Zaragoza,Mujeres,De 60 a 64 años,805
Coahuila de Zaragoza,Mujeres,De 65 a 69 años,533
Colima,Hombres,De 15 a 19 años,1262
Colima,Hombres,De 20 a 24 años,1494
Colima,Hombres,De 25 a 29 años,1397
Colima,Hombres,De 30 a 34 años,1139
Colima,Hombres,De 35 a 39 años,1023
Colima,Hombres,De 40 a 44 años,767
Colima,Hombres,De 45 a 49 años,738
Colima,Hombres,De 50 a 54 años,653
Colima,Hombres,De 55 a 59 años,449
Colima,Hombres,De 60 a 64 años,348
Colima,Hombres,De 65 a 69 años,231
Colima,Mujeres,De 15 a 19 años,886
Colima,Mujeres,De 20 a 24 años,1085
Colima,Mujeres,De 25 a 29 años,870
Colima,Mujeres,De 30 a 34 años,688
Colima,Mujeres,De 35 a 39 años,602
Colima,Mujeres,De 40 a 44 años,458
Colima,Mujeres,De 45 a 49 años,404
Colima,Mujeres,De 50 a 54 años,295
Colima,Mujeres,De 55 a 59 años,207
Colima,Mujeres,De 60 a 64 años,145
Colima,Mujeres,De 65 a 69 años,75
Chiapas,Hombres,De 15 a 19 años,35951
Chiapas,Hombres,De 20 a 24 años,31454
Chiapas,Hombres,De 25 a 29 años,26827
Chiapas,Hombres,De 30 a 34 años,24286
Chiapas,Hombres,De 35 a 39 años,21174
Chiapas,Hombres,De 40 a 44 años,16150
Chiapas,Hombres,De 45 a 49 años,13594
Chiapas,Hombres,De 50 a 54 años,10677
Chiapas,Hombres,De 55 a 59 años,8047
Chiapas,Hombres,De 60 a 64 años,6104
Chiapas,Hombres,De 65 a 69 años,4016
Chiapas,Mujeres,De 15 a 19 años,30040
Chiapas,Mujeres,De 20 a 24 años,27778
Chiapas,Mujeres,De 25 a 29 años,23230
Chiapas,Mujeres,De 30 a 34 años,19711
Chiapas,Mujeres,De 35 a 39 años,16363
Chiapas,Mujeres,De 40 a 44 años,11803
Chiapas,Mujeres,De 45 a 49 años,9178
Chiapas,Mujeres,De 50 a 54 años,6478
Chiapas,Mujeres,De 55 a 59 años,4442
Chiapas,Mujeres,De 60 a 64 años,3415
Chiapas,Mujeres,De 65 a 69 años,2333
Chihuahua,Hombres,De 15 a 19 años,14372
Chihuahua,Hombres,De 20 a 24 años,15445
Chihuahua,Hombres,De 25 a 29 años,14479
Chihuahua,Hombres,De 30 a 34 años,13234
Chihuahua,Hombres,De 35 a 39 años,12182
Chihuahua,Hombres,De 40 a 44 años,9187
Chihuahua,Hombres,De 45 a 49 años,6890
Chihuahua,Hombres,De 50 a 54 años,5253
Chihuahua,Hombres,De 55 a 59 años,3547
Chihuahua,Hombres,De 60 a 64 años,2783
Chihuahua,Hombres,De 65 a 69 años,1980
Chihuahua,Mujeres,De 15 a 19 años,11499
Chihuahua,Mujeres,De 20 a 24 años,11799
Chihuahua,Mujeres,De 25 a 29 años,10103
Chihuahua,Mujeres,De 30 a 34 años,9074
Chihuahua,Mujeres,De 35 a 39 años,7782
Chihuahua,Mujeres,De 40 a 44 años,5821
Chihuahua,Mujeres,De 45 a 49 años,4384
Chihuahua,Mujeres,De 50 a 54 años,3129
Chihuahua,Mujeres,De 55 a 59 años,1936
Chihuahua,Mujeres,De 60 a 64 años,1440
Chihuahua,Mujeres,De 65 a 69 años,1016
Ciudad de México,Hombres,De 15 a 19 años,24002
